,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
0,Skellefteå,64.7507,20.9528,75.56,41,0,4.61,SE,1627498677,Scandic Skellefteå
1,Illapel,-31.6308,-71.1653,73.8,10,0,4.88,CL,1627498571,Hotel Casablanca
2,Muhos,64.808,25.9931,73.18,71,0,3.22,FI,1627498541,Montta - active camping / campsite Montan
3,Ürümqi,43.801,87.6005,79.75,32,0,4.47,CN,1627498476,Sheraton Urumqi Hotel
4,Copiapó,-27.3667,-70.3333,71.87,23,0,6.44,CL,1627498813,Hotel Atacama Suites
5,Maragogi,-9.0122,-35.2225,77.76,74,0,6.06,BR,1627498815,Pousada da Orla
6,Vallenar,-28.5708,-70.7581,72.34,20,0,5.26,CL,1627498866,Hotel Puerto de Vega
7,Severnyy,50.677,36.5532,73.44,64,0,4.47,RU,1627498875,Hotel VOYAGE
8,Zharkent,44.1628,80.0,75.58,34,0,3.02,KZ,1627498881,гостиница Satti
9,Jinchang,38.4953,102.1739,75.24,21,0,8.46,CN,1627498938,Jinchuan Hotel
