,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Karratha,-20.7377,116.8463,66.81,67,10,10.27,AU,1627498541
1,Hermanus,-34.4187,19.2345,55.8,71,6,16.26,ZA,1627498654
2,Jacareacanga,-6.2222,-57.7528,98.91,34,20,3.44,BR,1627498654
3,Aksu,41.1231,80.2644,85.98,28,50,8.32,CN,1627498552
4,Iqaluit,63.7506,-68.5145,49.73,61,75,5.01,CA,1627498496
5,Rikitea,-23.1203,-134.9692,73.98,79,91,13.18,PF,1627498656
6,Tura,25.5198,90.2201,74.7,93,93,6.15,IN,1627498656
7,Ibrā’,22.6906,58.5334,93.85,34,100,15.35,OM,1627498657
8,Kiryat Gat,31.61,34.7642,81.91,100,0,4.63,IL,1627498657
9,Denpasar,-8.65,115.2167,78.46,89,40,4.61,ID,1627498598
10,Nabire,-3.3667,135.4833,77.56,89,96,2.21,ID,1627498519
11,Ankang,32.68,109.0172,71.89,89,4,0.94,CN,1627498659
12,Buraidah,26.326,43.975,102.65,14,6,10.47,SA,1627498659
13,Punta Arenas,-53.15,-70.9167,48.31,76,0,19.57,CL,1627498659
14,Amahai,-3.3333,128.9167,78.13,89,84,2.26,ID,1627498660
15,Vaini,-21.2,-175.2,68.16,77,40,8.05,TO,1627498454
16,Salalah,17.0151,54.0924,78.12,87,100,11.77,OM,1627498661
17,Bluff,-46.6,168.3333,42.8,87,22,9.26,NZ,1627498452
18,Turukhansk,65.8167,87.9833,50.68,89,100,1.43,RU,1627498662
19,Tsiroanomandidy,-18.7667,46.0333,59.04,40,0,2.8,MG,1627498662
20,Jamestown,42.097,-79.2353,81.3,53,75,3.44,US,1627498431
21,Walla Walla,46.0646,-118.343,88.68,41,82,8.01,US,1627498402
22,Saint Paul Harbor,57.79,-152.4072,54.55,82,100,2.98,US,1627498449
23,Dikson,73.5069,80.5464,38.21,94,100,12.06,RU,1627498663
24,Deer Lake,49.1667,-57.4316,66.06,88,90,3.44,CA,1627498664
25,Sfântu Gheorghe,45.8667,25.7833,69.26,89,98,2.57,RO,1627498664
26,Yellowknife,62.456,-114.3525,68.29,63,40,1.99,CA,1627498664
27,Constitución,-35.3333,-72.4167,58.93,41,0,4.23,CL,1627498556
28,Clyde River,70.4692,-68.5914,52.03,66,75,6.91,CA,1627498495
29,Kasamwa,-2.85,32.4333,69.78,46,14,0.29,TZ,1627498665
30,Salinópolis,-0.6136,-47.3561,81.63,81,17,11.01,BR,1627498510
31,Tuktoyaktuk,69.4541,-133.0374,48.2,93,90,11.5,CA,1627498666
32,Kikwit,-5.041,18.8162,80.1,19,5,0.58,CD,1627498666
33,Taoudenni,22.6783,-3.9836,108.36,13,5,10.02,ML,1627498667
34,Nhulunbuy,-12.2333,136.7667,70.41,94,19,2.3,AU,1627498667
35,Bredasdorp,-34.5322,20.0403,55.27,66,0,5.75,ZA,1627498668
36,Yerbogachën,61.2767,108.0108,65.84,63,0,7.34,RU,1627498668
37,Qaanaaq,77.484,-69.3632,43.65,99,100,7.54,GL,1627498669
38,Soyo,-6.1349,12.3689,75.25,87,7,10.51,AO,1627498670
39,New Norfolk,-42.7826,147.0587,44.92,76,87,1.01,AU,1627498466
40,Polovinnoye,54.7914,65.9864,49.48,71,6,7.76,RU,1627498670
41,Kefamenanu,-9.4467,124.4781,69.8,83,78,4.21,ID,1627498671
42,Pogradec,40.9025,20.6525,71.6,43,22,2.35,AL,1627498671
43,Beloha,-25.1667,45.05,64.96,84,3,12.24,MG,1627498672
44,Sassandra,4.95,-6.0833,75.7,82,97,6.8,CI,1627498672
45,Fortuna,40.5982,-124.1573,88.2,81,1,8.05,US,1627498673
46,Severo-Kuril'sk,50.6789,156.125,56.08,97,100,5.84,RU,1627498673
47,Alexandria,31.2156,29.9553,80.56,83,0,9.22,EG,1627498646
48,Lebu,-37.6167,-73.65,55.56,64,0,17.29,CL,1627498674
49,Flinders,-34.5833,150.8552,54.18,55,0,11.01,AU,1627498675
50,Lewiston,44.1003,-70.2148,78.04,51,57,1.01,US,1627498602
51,Port Alfred,-33.5906,26.891,60.89,78,100,8.03,ZA,1627498675
52,Arraial do Cabo,-22.9661,-42.0278,73.36,100,90,12.66,BR,1627498466
53,Butaritari,3.0707,172.7902,82.44,71,47,10.36,KI,1627498676
54,Qasigiannguit,68.8193,-51.1922,47.07,77,100,5.61,GL,1627498677
55,Skellefteå,64.7507,20.9528,75.56,41,0,4.61,SE,1627498677
56,Ramos Arizpe,25.55,-100.9667,82.13,41,100,11.9,MX,1627498678
57,Albany,42.6001,-73.9662,79.45,56,23,1.01,US,1627498438
58,Suez,29.9737,32.5263,82.31,45,0,11.39,EG,1627498679
59,Ushuaia,-54.8,-68.3,46.02,81,40,4.61,AR,1627498680
60,Naze,28.3667,129.4833,77.67,89,37,8.3,JP,1627498585
61,Avarua,-21.2078,-159.775,69.85,94,90,3.44,CK,1627498680
62,Yulara,-25.2406,130.9889,51.64,62,0,6.91,AU,1627498468
63,Mato Verde,-15.3972,-42.8664,88.18,19,0,6.22,BR,1627498681
64,Saint-Philippe,-21.3585,55.7679,72.99,88,100,18.61,RE,1627498682
65,Nsanje,-16.92,35.262,63.18,79,2,1.45,MW,1627498682
66,Te Anau,-45.4167,167.7167,40.24,91,88,1.7,NZ,1627498683
67,Kiunga,-6.1219,141.2906,73.42,100,92,1.66,PG,1627498683
68,Sorong,-0.8833,131.25,80.17,82,51,1.83,ID,1627498684
69,Pevek,69.7008,170.3133,32.77,99,100,24.4,RU,1627498684
70,Vardø,70.3705,31.1107,46.6,86,100,3.36,NO,1627498685
71,Chokurdakh,70.6333,147.9167,37.9,80,100,10.31,RU,1627498685
72,Mataura,-46.1927,168.8643,42.48,97,17,3.94,NZ,1627498442
73,Mampong,7.0627,-1.4001,71.44,88,51,3.85,GH,1627498685
74,Thompson,55.7435,-97.8558,64.56,59,75,10.36,CA,1627498686
75,Gushikawa,26.3544,127.8686,79.83,94,100,3.89,JP,1627498686
76,Bambous Virieux,-20.3428,57.7575,70.05,83,75,20.71,MU,1627498687
77,Bandar-e Lengeh,26.5579,54.8807,93.31,84,50,9.22,IR,1627498687
78,Khorixas,-20.3667,14.9667,65.17,22,0,3.94,NA,1627498687
79,Geraldton,-28.7667,114.6,63.01,82,40,17.27,AU,1627498688
80,Castro,-24.7911,-50.0119,51.42,41,5,10.38,BR,1627498688
81,Hobart,-42.8794,147.3294,45.27,73,71,3.0,AU,1627498422
82,Sandpoint,48.2766,-116.5533,89.46,38,1,1.99,US,1627498689
83,Narsaq,60.9167,-46.05,51.39,70,87,6.26,GL,1627498690
84,Benjamin Constant,-4.3831,-70.0311,87.93,70,40,3.44,BR,1627498690
85,Petatlán,17.5167,-101.2667,89.19,60,89,6.67,MX,1627498690
86,Wagga Wagga,-35.1167,147.3667,39.61,93,7,4.61,AU,1627498691
87,Pisco,-13.7,-76.2167,67.01,72,0,9.22,PE,1627498691
88,Goundam,16.4145,-3.6708,91.26,45,99,6.76,ML,1627498692
89,El Jícaro,14.9167,-89.9,92.73,55,48,2.62,GT,1627498692
90,Akdağmadeni,39.6603,35.8836,54.86,73,0,9.73,TR,1627498692
91,Chicama,-7.8447,-79.1469,64.94,60,49,11.18,PE,1627498693
92,Ponta do Sol,32.6667,-17.1,75.7,75,1,3.67,PT,1627498693
93,Chincha Alta,-13.4099,-76.1323,65.75,66,20,7.07,PE,1627498549
94,Nikolskoye,59.7035,30.7861,67.39,97,100,3.89,RU,1627498478
95,Havelock,34.8791,-76.9013,84.02,89,100,5.99,US,1627498694
96,Baghdad,33.3406,44.4009,100.31,17,0,9.22,IQ,1627498621
97,Kargasok,59.0556,80.8572,56.26,82,60,7.83,RU,1627498695
98,Mehamn,71.0357,27.8492,48.38,92,100,7.76,NO,1627498519
99,Point Pedro,9.8167,80.2333,82.98,80,60,17.49,LK,1627498695
100,Cape Town,-33.9258,18.4232,56.88,71,75,3.0,ZA,1627498558
101,Waipawa,-41.4122,175.5153,45.93,88,3,4.09,NZ,1627498696
102,Kaitangata,-46.2817,169.8464,46.92,82,26,4.47,NZ,1627498696
103,Stephenville,32.2207,-98.2023,94.24,43,1,4.61,US,1627498697
104,Stellenbosch,-33.9346,18.8668,55.6,79,41,8.03,ZA,1627498697
105,Bethel,41.3712,-73.414,81.68,57,0,1.99,US,1627498470
106,Nome,64.5011,-165.4064,51.17,98,100,18.14,US,1627498535
107,Puerto Colombia,10.9878,-74.9547,89.69,73,17,17.05,CO,1627498699
108,Olafsvik,64.8945,-23.7142,53.11,85,100,15.5,IS,1627498699
109,Jérémie,18.65,-74.1167,85.08,71,19,6.2,HT,1627498699
110,Aklavik,68.2191,-135.0107,64.4,72,75,4.61,CA,1627498700
111,Khatanga,71.9667,102.5,72.09,61,17,8.95,RU,1627498700
